team,elo,overall_win_pct,draw_pct,loss_pct,avg_goals_scored,avg_goals_conceded,avg_goal_diff,games_played,form,home_home_win_pct,away_away_win_pct
Abkhazia,1587.84,0.45454545454545453,0.3939393939393939,0.15151515151515152,1.6363636363636365,0.7878787878787878,0.8484848484848485,33.0,0.6,0.5217391304347826,0.3
Afghanistan,1265.18,0.24489795918367346,0.23129251700680273,0.5238095238095238,0.9659863945578231,1.9931972789115646,-1.0272108843537415,147.0,0.3333333333333333,0.36,0.18556701030927836
Albania,1605.76,0.27638190954773867,0.21105527638190955,0.5125628140703518,0.9472361809045227,1.479899497487437,-0.5326633165829145,398.0,0.0,0.37142857142857144,0.1702127659574468
Alderney,1148.47,0.037037037037037035,0.014814814814814815,0.9481481481481482,0.5407407407407407,4.592592592592593,-4.051851851851852,135.0,0.19999999999999998,0.020833333333333332,0.04597701149425287
Algeria,1826.11,0.4661290322580645,0.2629032258064516,0.2709677419354839,1.5451612903225806,1.0,0.5451612903225806,620.0,0.6666666666666666,0.5802816901408451,0.3132075471698113
Ambazonia,1433.28,0.0,0.16666666666666666,0.8333333333333334,0.5,2.8333333333333335,-2.3333333333333335,6.0,0.0,0.0,0.0
American Samoa,1143.51,0.07272727272727272,0.03636363636363636,0.8909090909090909,0.6,6.490909090909091,-5.890909090909091,55.0,0.0,0.12,0.03333333333333333
Andalusia,1564.38,0.6153846153846154,0.3076923076923077,0.07692307692307693,1.9230769230769231,1.0769230769230769,0.8461538461538461,13.0,0.8666666666666667,0.5833333333333334,1.0
Andorra,1166.3,0.0611353711790393,0.13537117903930132,0.8034934497816594,0.32751091703056767,2.37117903930131,-2.0436681222707422,229.0,0.26666666666666666,0.10434782608695652,0.017543859649122806
Angola,1547.26,0.3397590361445783,0.3566265060240964,0.3036144578313253,1.1325301204819278,1.0313253012048194,0.10120481927710843,415.0,0.39999999999999997,0.47804878048780486,0.20476190476190476
Anguilla,1066.37,0.07692307692307693,0.0989010989010989,0.8241758241758241,0.5714285714285714,3.8351648351648353,-3.2637362637362637,91.0,0.39999999999999997,0.06666666666666667,0.08196721311475409
Antigua And Barbuda,1213.41,0.30735930735930733,0.18614718614718614,0.5064935064935064,1.3246753246753247,1.8311688311688312,-0.5064935064935064,231.0,0.13333333333333333,0.4,0.18811881188118812
Arameans Suryoye,1537.14,0.5,0.2,0.3,1.6,1.2,0.4,10.0,0.6666666666666666,0.3333333333333333,0.5714285714285714
